path,row,index,season,category,type
330_2_2024_V_0_2,330,2,V,0,2
60_1_2024_V_1_1,60,1,V,1,1
365_2_2024_V_0_3,365,2,V,0,3
240_0_2024_V_0_2,240,0,V,0,2
315_2_2024_V_0_3,315,2,V,0,3
115_2_2023_I_0_3,115,2,I,0,3
113_0_2024_V_0_2,113,0,V,0,2
136_0_2024_V_4_1,136,0,V,4,1
238_0_2024_V_0_3,238,0,V,0,3
89_1_2024_V_0_3,89,1,V,0,3
429_1_2024_V_0_3,429,1,V,0,3
170_0_2023_I_0_2,170,0,I,0,2
256_2_2024_V_0_3,256,2,V,0,3
387_0_2023_I_0_3,387,0,I,0,3
43_0_2024_W_0_1,43,0,W,0,1
251_1_2024_V_0_1,251,1,V,0,1
294_1_2024_V_4_1,294,1,V,4,1
322_2_2024_V_0_3,322,2,V,0,3
118_2_2024_V_0_3,118,2,V,0,3
293_2_2024_V_0_3,293,2,V,0,3
104_2_2024_V_0_2,104,2,V,0,2
51_1_2024_V_0_2,51,1,V,0,2
354_2_2024_V_0_2,354,2,V,0,2
15_0_2023_I_0_3,15,0,I,0,3
410_2_2024_V_0_2,410,2,V,0,2
183_1_2024_V_4_1,183,1,V,4,1
241_2_2024_V_1_3,241,2,V,1,3
77_1_2023_I_0_3,77,1,I,0,3
415_0_2024_W_1_3,415,0,W,1,3
199_0_2024_V_0_3,199,0,V,0,3
259_0_2024_V_0_3,259,0,V,0,3
427_2_2024_V_0_3,427,2,V,0,3
371_1_2024_V_0_3,371,1,V,0,3
348_0_2023_S_0_2,348,0,S,0,2
7_1_2024_V_4_1,7,1,V,4,1
29_0_2024_V_0_3,29,0,V,0,3
378_0_2022_I_4_1,378,0,I,4,1
3_2_2024_V_0_2,3,2,V,0,2
135_2_2024_V_0_2,135,2,V,0,2
37_0_2024_V_0_2,37,0,V,0,2
281_0_2024_V_0_3,281,0,V,0,3
244_2_2024_V_0_3,244,2,V,0,3
366_0_2023_I_4_1,366,0,I,4,1
294_0_2024_V_4_1,294,0,V,4,1
119_0_2022_I_4_1,119,0,I,4,1
108_2_2024_V_0_3,108,2,V,0,3
299_2_2024_V_0_2,299,2,V,0,2
63_1_2024_V_4_1,63,1,V,4,1
351_0_2024_V_4_1,351,0,V,4,1
257_1_2024_V_0_3,257,1,V,0,3
352_1_2024_V_4_1,352,1,V,4,1
244_1_2024_V_0_3,244,1,V,0,3
88_1_2024_V_1_1,88,1,V,1,1
432_1_2023_I_0_3,432,1,I,0,3
161_2_2023_I_1_1,161,2,I,1,1
250_1_2024_V_1_3,250,1,V,1,3
447_0_2024_V_0_3,447,0,V,0,3
234_0_2024_V_0_2,234,0,V,0,2
0_2_2024_V_0_3,0,2,V,0,3
110_0_2024_V_0_2,110,0,V,0,2
334_0_2024_V_0_2,334,0,V,0,2
442_0_2024_V_1_3,442,0,V,1,3
265_0_2023_I_0_2,265,0,I,0,2
325_0_2024_V_0_3,325,0,V,0,3
303_1_2024_W_1_2,303,1,W,1,2
397_1_2023_I_0_2,397,1,I,0,2
225_1_2024_V_0_3,225,1,V,0,3
154_0_2024_V_0_2,154,0,V,0,2
142_0_2024_V_1_1,142,0,V,1,1
462_1_2024_V_0_2,462,1,V,0,2
54_1_2024_V_4_1,54,1,V,4,1
157_2_2024_V_1_1,157,2,V,1,1
64_1_2024_V_0_3,64,1,V,0,3
445_2_2024_V_0_3,445,2,V,0,3
410_1_2024_V_0_2,410,1,V,0,2
227_1_2024_V_0_3,227,1,V,0,3
380_0_2024_V_4_1,380,0,V,4,1
60_0_2024_V_1_1,60,0,V,1,1
300_1_2024_V_0_3,300,1,V,0,3
49_0_2024_V_0_2,49,0,V,0,2
154_2_2024_V_0_2,154,2,V,0,2
471_0_2023_I_0_3,471,0,I,0,3
31_0_2024_V_0_3,31,0,V,0,3
305_1_2024_V_0_2,305,1,V,0,2
437_1_2024_V_0_3,437,1,V,0,3
366_1_2023_I_4_1,366,1,I,4,1
75_2_2024_V_0_1,75,2,V,0,1
239_1_2024_V_0_2,239,1,V,0,2
135_1_2024_V_0_2,135,1,V,0,2
398_2_2023_I_0_2,398,2,I,0,2
403_1_2024_W_0_3,403,1,W,0,3
320_0_2024_V_1_3,320,0,V,1,3
402_2_2024_V_1_2,402,2,V,1,2
87_1_2024_V_0_3,87,1,V,0,3
343_1_2024_V_1_2,343,1,V,1,2
302_2_2023_I_0_2,302,2,I,0,2
341_2_2023_I_0_2,341,2,I,0,2
80_2_2023_I_0_3,80,2,I,0,3
162_2_2024_V_0_3,162,2,V,0,3
85_0_2024_V_0_3,85,0,V,0,3
12_1_2023_I_1_3,12,1,I,1,3
167_0_2023_I_0_3,167,0,I,0,3
236_2_2024_V_0_2,236,2,V,0,2
406_0_2024_V_4_1,406,0,V,4,1
444_2_2024_V_0_3,444,2,V,0,3
120_1_2024_V_2_1,120,1,V,2,1
211_2_2024_V_0_3,211,2,V,0,3
13_0_2024_V_1_3,13,0,V,1,3
262_0_2024_V_0_3,262,0,V,0,3
139_1_2024_V_0_1,139,1,V,0,1
290_2_2024_W_1_2,290,2,W,1,2
212_1_2024_V_0_3,212,1,V,0,3
125_1_2024_V_1_2,125,1,V,1,2
424_0_2024_V_0_3,424,0,V,0,3
28_1_2024_V_4_1,28,1,V,4,1
352_0_2024_V_4_1,352,0,V,4,1
178_0_2023_V_0_3,178,0,V,0,3
117_2_2024_V_0_3,117,2,V,0,3
33_1_2024_V_0_2,33,1,V,0,2
28_0_2024_V_4_1,28,0,V,4,1
259_1_2024_V_0_3,259,1,V,0,3
195_2_2023_I_0_2,195,2,I,0,2
117_0_2024_V_0_3,117,0,V,0,3
408_2_2024_V_0_2,408,2,V,0,2
249_1_2023_I_0_3,249,1,I,0,3
435_1_2023_I_0_2,435,1,I,0,2
147_0_2023_S_0_1,147,0,S,0,1
376_2_2023_I_2_3,376,2,I,2,3
421_1_2024_V_0_3,421,1,V,0,3
123_0_2024_V_0_3,123,0,V,0,3
254_1_2024_V_4_1,254,1,V,4,1
85_2_2024_V_0_3,85,2,V,0,3
92_1_2024_V_0_2,92,1,V,0,2
371_0_2024_V_0_3,371,0,V,0,3
