path,row,index,season,category,type
456_2_2023_I_2_1,456,2,I,2,1
97_1_2024_V_0_1,97,1,V,0,1
44_1_2024_V_0_1,44,1,V,0,1
269_2_2022_V_2_1,269,2,V,2,1
97_0_2024_V_0_1,97,0,V,0,1
269_1_2022_V_2_1,269,1,V,2,1
97_2_2024_V_0_1,97,2,V,0,1
269_0_2023_I_2_1,269,0,I,2,1
282_2_2023_I_0_1,282,2,I,0,1
456_1_2023_I_2_1,456,1,I,2,1
44_2_2024_V_0_1,44,2,V,0,1
25_1_2024_V_0_1,25,1,V,0,1
25_2_2024_V_0_1,25,2,V,0,1
44_0_2024_V_0_1,44,0,V,0,1
190_0_2024_V_0_1,190,0,V,0,1
200_0_2024_V_0_1,200,0,V,0,1
456_0_2023_I_2_1,456,0,I,2,1
190_1_2024_V_0_1,190,1,V,0,1
383_1_2024_V_0_1,383,1,V,0,1
383_0_2024_V_0_1,383,0,V,0,1
190_2_2024_V_0_1,190,2,V,0,1
25_0_2024_V_0_1,25,0,V,0,1
383_2_2024_V_0_1,383,2,V,0,1
261_0_2024_V_0_1,261,0,V,0,1
282_0_2024_W_0_1,282,0,W,0,1
200_2_2024_V_0_1,200,2,V,0,1
261_2_2024_V_0_1,261,2,V,0,1
